"New"	"English"	"On’yomi"
"一"	"one"	"イチ, イツ, ichi, itsu"
"丁"	"fourth"	"チョウ, テイ, choo, tee"
"七"	"seven"	"シチ, shichi"
"万"	"ten thousand"	"マン, バン, man, ban"
"丈"	"length"	"ジョウ, joo"
"三"	"three"	"サン, san"
"上"	"above,up"	"ジョウ, ショウ, joo, shoo"
"下"	"below"	"カ, ゲ, ka, ge"
"不"	"not,non-"	"フ, ブ, fu, bu"
"与"	"give"	"ヨ, yo"
"且"	"also"	"shoo, sho, so"
"世"	"world"	"セイ, セ, see, se"
"丘"	"hill"	"キュウ, kyuu"
"丙"	"third class"	"ヘイ, hee"
"両"	"both"	"リョウ, ryoo"
"並"	"line-up"	"ヘイ, hee"
"中"	"middle"	"チュウ, chuu"
"丸"	"circle"	"ガン, gan"
"丹"	"cinnabar"	"タン, tan"
"主"	"master"	"シュ, ス, shu, su"
"久"	"long time"	"キュウ, ク, kyuu, ku"
"乏"	"scarce"	"ボウ, boo"
"乗"	"ride"	"ジョウ, joo"
"乙"	"the latter"	"オツ, otsu"
"九"	"nine"	"キュウ, ク, kyuu, ku"
"乱"	"chaos,riot"	"ラン, ran"
"乳"	"milk"	"ニュウ, nyuu"
"乾"	"dry"	"カン, kan"
"了"	"finish"	"リョウ, ryoo"
"予"	"before,in advance"	"ヨ, yo"
"争"	"conflict"	"ソウ, soo"
"事"	"thing,abstract thing"	"ジ, ズ, ji, zu"
"二"	"two"	"ニ, ni"
"互"	"mutually"	"ゴ, go"
"五"	"five"	"ゴ, go"
"井"	"well"	"セイ, ショウ, see, shoo"
"亜"	"Asia,sub-"	"ア, a"
"亡"	"deceased"	"ボウ, モウ, boo, moo"
"交"	"mix"	"コウ, koo"
"享"	"receive"	"キョウ, kyoo"
"京"	"capital"	"キョウ, ケイ, kyoo, kee"
"亭"	"pavilion"	"テイ, tee"
"人"	"person"	"ジン, ニン, jin, nin"
"仁"	"humanity"	"ジン, ニ, jin, ni"
"今"	"now"	"コン, キン, kon, kin"
"介"	"jammed in"	"カイ, kai"
"仏"	"Buddha"	"ブツ, butsu"
"仕"	"work"	"シ, ジ, shi, ji"
"他"	"other"	"タ, ta"
"付"	"attach"	"フ, fu"
"仙"	"hermit"	"セン, sen"
"代"	"substitute"	"ダイ, タイ, dai, tai"
"令"	"orders"	"レイ, ree"
"以"	"by means of"	"イ, i"
"仮"	"temporary"	"カ, ケ, ka, ke"
"仰"	"face-up"	"ギョウ, コウ, gyoo, koo"
"仲"	"relationship"	"チュウ, chuu"
"件"	"affair"	"ケン, ken"
"任"	"responsibility"	"ニン, nin"
"企"	"plan"	"キ, ki"
"伏"	"prostrated"	"フク, fuku"
"伐"	"fell"	"バツ, batsu"
"休"	"vacation,rest"	"キュウ, kyuu"
"会"	"association"	"カイ, エ, kai, e"
"伝"	"transmit"	"デン, den"
"伯"	"chief"	"ハク, haku"
"伴"	"consort"	"ハン, バン, han, ban"
"伸"	"lengthen"	"シン, shin"
"伺"	"pay respects"	"シ, shi"
"似"	"become"	"ジ, ji"
"但"	"however"	"tan"
"位"	"rank"	"イ, i"
"低"	"low"	"テイ, tee"
"住"	"house,dwelling"	"ジュウ, juu"
"佐"	"help"	"サ, sa"
"体"	"body"	"タイ, テイ, tai, tee"
"何"	"what"	"カ, ka"
"余"	"leave over"	"ヨ, yo"
"作"	"make"	"サク, サ, saku, sa"
"佳"	"excellent"	"カ, ka"
"併"	"join"	"ヘイ, hee"
"使"	"use"	"シ, shi"
"例"	"example"	"レイ, ree"
"侍"	"samurai"	"ジ, ji"
"供"	"offer"	"キョウ, ク, kyoo, ku"
"依"	"reliant"	"イ, エ, i, e"
"価"	"value"	"カ, ka"
"侮"	"scorn"	"ブ, bu"
"侯"	"marquis"	"コウ, koo"
"侵"	"encroach"	"シン, shin"
"便"	"convenience"	"ベン, ビン, ben, bin"
"係"	"person in charge"	"ケイ, kee"
"促"	"stimulate"	"ソク, soku"
"俊"	"genius"	"シュン, shun"
"俗"	"vulgar"	"ゾク, zoku"
"保"	"preserve"	"ホ, ho"
"信"	"trust"	"シン, shin"
"修"	"discipline"	"シュウ, シュ, shuu, shu"
"俳"	"haiku"	"ハイ, hai"
"俵"	"bag"	"ヒョウ, hyoo"
"俸"	"salary"	"ホウ, hoo"
"倉"	"warehouse"	"ソウ, soo"
"個"	"individual"	"コ, ko"
"倍"	"double"	"バイ, bai"
"倒"	"overthrow"	"トウ, too"
"候"	"climate"	"コウ, koo"
"借"	"borrow"	"シャク, shaku"
"倣"	"emulate"	"ホウ, hoo"
"値"	"value"	"チ, chi"
"倫"	"ethics"	"リン, rin"
"倹"	"frugal"	"ケン, ken"
"偉"	"admirable"	"イ, i"
"偏"	"partial"	"ヘン, hen"
"停"	"halt"	"テイ, tee"
"健"	"healthy"	"ケン, ken"
"側"	"side"	"ソク, soku"
"偵"	"spy"	"テイ, tee"
"偶"	"accidentally"	"グウ, guu"
"偽"	"false"	"ギ, gi"
"傍"	"bystander"	"ボウ, boo"
"傑"	"greatness"	"ケツ, ketsu"
"傘"	"umbrella"	"サン, san"
"備"	"provide"	"ビ, bi"
"催"	"sponsor"	"サイ, sai"
"債"	"bond"	"サイ, sai"
"傷"	"wound"	"ショウ, shoo"
"傾"	"lean"	"ケイ, kee"
"働"	"work"	"ドウ, doo"
"像"	"statue"	"ゾウ, zoo"
"僕"	"me"	"ボク, boku"
"僚"	"colleague"	"リョウ, ryoo"
"僧"	"Buddhist priest"	"ソウ, soo"
"儀"	"ceremony"	"ギ, gi"
"億"	"hundred million"	"オク, oku"
"儒"	"Confucian"	"ジュ, ju"
"償"	"reparation"	"ショウ, shoo"
"優"	"superior"	"ユウ, yuu"
"元"	"origin"	"ゲン, ガン, gen, gan"
"兄"	"older brother"	"ケイ, キョウ, kee, kyoo"
"充"	"allot"	"ジュウ, juu"
"兆"	"portent, trillion"	"チョウ, choo"
"先"	"previous"	"セン, sen"
"光"	"ray"	"コウ, koo"
"克"	"overcome"	"コク, koku"
"免"	"excuse"	"メン, men"
"児"	"child"	"ジ, ニ, ji, ni"
"党"	"group"	"トウ, too"
"入"	"enter"	"ニュウ, nyuu"
"全"	"whole"	"ゼン, zen"
"八"	"eight"	"ハチ, hachi"
"公"	"public"	"コウ, koo"
"六"	"six"	"ロク, roku"
"共"	"together"	"キョウ, kyoo"
"兵"	"soldier"	"ヘイ, ヒョウ, hee, hyoo"
"具"	"tool"	"グ, gu"
"典"	"code"	"テン, ten"
"兼"	"concurrently"	"ケン, ken"
"内"	"inside"	"ナイ, ダイ, nai, dai"
"円"	"round, yen"	"エン, en"
"冊"	"counter for books"	"サツ, サク, satsu, saku"
"再"	"again"	"サイ, サ, sai, sa"
"冒"	"risk"	"ボウ, boo"
"冗"	"superfluous"	"ジョウ, joo"
"写"	"copy"	"シャ, sha"
"冠"	"crown"	"カン, kan"
"冬"	"winter"	"トウ, too"
"冷"	"cool"	"レイ, ree"
"准"	"quasi-"	"ジュン, jun"
"凍"	"frozen"	"トウ, too"
"凝"	"congeal"	"ギョウ, gyoo"
"凡"	"mediocre"	"ボン, ハン, bon, han"
"処"	"dispose"	"ショ, sho"
"凶"	"villain"	"キョウ, kyoo"
"凸"	"convex"	"トツ, totsu"
"凹"	"concave"	"オウ, oo"
"出"	"exit"	"シュツ, スイ, shutsu, sui"
"刀"	"sword"	"トウ, too"
"刃"	"blade"	"ジン, jin"
"分"	"minute"	"ブン, フン, ブ, bun, fun, bu"
"切"	"cut"	"セツ, サイ, setsu, sai"
"刈"	"reap"	"kai, gai"
"刊"	"publish"	"カン, kan"
"刑"	"punish"	"ケイ, kee"
"列"	"row"	"レツ, retsu"
"初"	"first"	"ショ, sho"
"判"	"judge"	"ハン, バン, han, ban"
"別"	"separate"	"ベツ, betsu"
"利"	"profit"	"リ, ri"
"到"	"arrival"	"トウ, too"
"制"	"control"	"セイ, see"
"刷"	"printing"	"サツ, satsu"
"券"	"ticket"	"ケン, ken"
"刺"	"thorn"	"シ, shi"
"刻"	"engrave"	"コク, koku"
"則"	"rule"	"ソク, soku"
"削"	"plane"	"サク, saku"
"前"	"in front"	"ゼン, zen"
"剖"	"divide"	"ボウ, boo"
"剛"	"sturdy"	"ゴウ, goo"
"剣"	"sabre"	"ケン, ken"
"剤"	"dose"	"ザイ, zai"
"副"	"vice"	"フク, fuku"
"剰"	"surplus"	"ジョウ, joo"
"割"	"divide"	"カツ, katsu"
"創"	"create"	"ソウ, soo"
"劇"	"drama"	"ゲキ, geki"
"力"	"power"	"リョク, リキ, ryoku, riki"
"功"	"achievement"	"コウ, ク, koo, ku"
"加"	"add"	"カ, ka"
"劣"	"inferiority"	"レツ, retsu"
"助"	"help"	"ジョ, jo"
"努"	"toil"	"ド, do"
"励"	"encourage"	"レイ, ree"
"労"	"labour"	"ロウ, roo"
"効"	"effect"	"コウ, koo"
"劾"	"censure"	"ガイ, gai"
"勅"	"imperial order"	"チョク, choku"
"勇"	"courage"	"ユウ, yuu"
"勉"	"exertion"	"ベン, ben"
"動"	"move"	"ドウ, doo"
"勘"	"intuition"	"カン, kan"
"務"	"duty"	"ム, mu"
"勝"	"win"	"ショウ, shoo"
"募"	"recruit"	"ボ, bo"
"勢"	"power"	"セイ, see"
"勤"	"diligence"	"キン, ゴン, kin, gon"
"勧"	"persuade"	"カン, kan"
"勲"	"meritorious deed"	"クン, kun"
"勺"	"ladle"	"シャク, shaku"
"匁"	"monme"	
"包"	"wrap"	"ホウ, hoo"
"化"	"change"	"カ, ケ, ka, ke"
"北"	"north"	"ホク, hoku"
"匠"	"artisan"	"ショウ, shoo"
"匹"	"equal"	"ヒツ, hitsu"
"区"	"ward"	"ク, ku"
"医"	"medicine"	"イ, i"
"匿"	"hide"	"トク, toku"
"十"	"ten"	"ジュウ, ジッ, juu, ji'"
"千"	"thousand"	"セン, sen"
"升"	"measuring box"	"ショウ, shoo"
"午"	"noon"	"ゴ, go"
"半"	"half"	"ハン, han"
"卑"	"lowly"	"ヒ, hi"
"卒"	"graduate"	"ソツ, sotsu"
"卓"	"eminent"	"タク, taku"
"協"	"cooperation"	"キョウ, kyoo"
"南"	"south"	"ナン, ナ, nan, na"
"単"	"simple"	"タン, tan"
"博"	"professor"	"ハク, バク, haku, baku"
"占"	"fortune telling"	"セン, sen"
"印"	"mark"	"イン, in"
"危"	"dangerous"	"キ, ki"
"即"	"instant"	"ソク, soku"
"却"	"instead"	"キャク, kyaku"
"卵"	"egg"	"ラン, ran"
"卸"	"wholesale"	"sha"
"厄"	"unlucky"	"ヤク, yaku"
"厘"	"thousandth"	"リン, rin"
"厚"	"thick"	"コウ, koo"
"原"	"field"	"ゲン, gen"
"厳"	"strict"	"ゲン, ゴン, gen, gon"
"去"	"leave"	"キョ, コ, kyo, ko"
"参"	"participate"	"サン, san"
"又"	"again"	"yuu"
"及"	"reach out"	"キュウ, kyuu"
"友"	"friend"	"ユウ, yuu"
"双"	"pair"	"ソウ, soo"
"反"	"against,anti-"	"ハン, ホン, タン, han, hon, tan"
"収"	"take in"	"シュウ, shuu"
"叔"	"uncle"	"シュク, shuku"
"取"	"take"	"シュ, shu"
"受"	"accept"	"ジュ, ju"
"叙"	"confer"	"ジョ, jo"
"口"	"mouth"	"コウ, ク, koo, ku"
"古"	"old"	"コ, ko"
"句"	"phrase"	"ku"
"叫"	"shout"	"キョウ, kyoo"
"召"	"summon"	"ショウ, shoo"
"可"	"possible"	"カ, ka"
"台"	"pedestal"	"ダイ, タイ, dai, tai"
"史"	"history"	"シ, shi"
"右"	"right"	"ウ, ユウ, u, yuu"
"号"	"number"	"ゴウ, goo"
"司"	"director"	"シ, shi"
"各"	"each"	"カク, kaku"
"合"	"fit"	"ゴウ, ガッ, カッ, goo, ga', ka'"
"吉"	"good luck"	"キチ, キツ, kichi, kitsu"
"同"	"same"	"ドウ, doo"
"名"	"name"	"メイ, ミョウ, mee, myoo"
"后"	"empress"	"コウ, koo"
"吏"	"officer"	"リ, ri"
"吐"	"spit"	"ト, to"
"向"	"over there"	"コウ, koo"
"君"	"you"	"クン, kun"
"吟"	"versify"	"ギン, gin"
"否"	"negate"	"ヒ, hi"
"含"	"include"	"ガン, gan"
"吸"	"suck"	"キュウ, kyuu"
"吹"	"blow"	"スイ, sui"
"呈"	"display"	"テイ, tee"
"呉"	"give"	"ゴ, go"
"告"	"to tell"	"コク, koku"
"周"	"circumference"	"シュウ, shuu"
"味"	"flavor"	"ミ, mi"
"呼"	"call"	"コ, ko"
"命"	"fate"	"メイ, ミョウ, mee, myoo"
"和"	"peace"	"ワ, オ, wa, o"
"咲"	"blossom"	"shoo"
"哀"	"pathetic"	"アイ, ai"
"品"	"article"	"ヒン, hin"
"員"	"member"	"イン, in"
"哲"	"philosophy"	"テツ, tetsu"
"唆"	"tempt"	"サ, sa"
"唇"	"lips"	"シン, shin"
"唐"	"China"	"トウ, too"
"唯"	"solely"	"ユイ, イ, yui, i"
"唱"	"chant"	"ショウ, shoo"
"商"	"sell"	"ショウ, shoo"
"問"	"question"	"モン, mon"
"啓"	"disclose"	"ケイ, kee"
"善"	"good"	"ゼン, zen"
"喚"	"yell"	"カン, kan"
"喜"	"rejoice"	"キ, ki"
"喝"	"hoarse"	"カツ, katsu"
"喪"	"miss"	"ソウ, soo"
"喫"	"consume"	"キツ, kitsu"
"営"	"manage"	"エイ, ee"
"嗣"	"heir"	"シ, shi"
"嘆"	"sigh"	"タン, tan"
"嘱"	"entrust"	"ショク, shoku"
"器"	"container"	"キ, ki"
"噴"	"erupt"	"フン, fun"
"嚇"	"menacing"	"カク, kaku"
"囚"	"captured"	"シュウ, shuu"
"四"	"four"	"シ, shi"
"回"	"times"	"カイ, エ, kai, e"
"因"	"cause"	"イン, in"
"団"	"group"	"ダン, トン, dan, ton"
"困"	"distressed"	"コン, kon"
"囲"	"surround"	"イ, i"
"図"	"diagram"	"ズ, ト, zu, to"
"固"	"hard"	"コ, ko"
"国"	"country"	"コク, koku"
"圏"	"sphere"	"ケン, ken"
"園"	"garden"	"エン, en"
"土"	"soil"	"ド, ト, do, to"
"圧"	"pressure"	"アツ, atsu"
"在"	"exist"	"ザイ, zai"
"地"	"ground"	"チ, ジ, chi, ji"
"坂"	"slope"	"ハン, han"
"均"	"level"	"キン, kin"
"坊"	"boy"	"ボウ, ボッ, boo, bo'"
"坑"	"pit"	"コウ, koo"
"坪"	"two-mat area"	"hei"
"垂"	"droop"	"スイ, sui"
"型"	"model"	"ケイ, kee"
"垣"	"hedge"	"en"
"埋"	"bury"	"マイ, mai"
"城"	"castle"	"ジョウ, joo"
"域"	"range"	"イキ, iki"
"執"	"tenacious"	"シツ, シュウ, shitsu, shuu"
"培"	"cultivate"	"バイ, bai"
"基"	"foundation"	"キ, ki"
"堀"	"ditch"	"kutsu"
"堂"	"hall"	"ドウ, doo"
"堅"	"strict"	"ケン, ken"
"堕"	"degenerate"	"ダ, da"
"堤"	"dike"	"テイ, tee"
"堪"	"withstand"	"カン, kan"
"報"	"report"	"ホウ, hoo"
"場"	"place"	"ジョウ, joo"
"塀"	"fence"	"ヘイ, hee"
"塁"	"bases"	"ルイ, rui"
"塊"	"clod"	"カイ, kai"
"塑"	"model"	"ソ, so"
"塔"	"pagoda"	"トウ, too"
"塗"	"paint"	"ト, to"
"塚"	"hillock"	"choo"
"塩"	"salt"	"エン, en"
"塾"	"cram school"	"ジュク, juku"
"境"	"boundary"	"キョウ, ケイ, kyoo, kee"
"墓"	"grave"	"ボ, bo"
"増"	"increase"	"ゾウ, zoo"
"墜"	"crash"	"ツイ, tsui"
"墨"	"black ink"	"ボク, boku"
"墳"	"tomb"	"フン, fun"
"墾"	"ground-breaking"	"コン, kon"
"壁"	"wall"	"ヘキ, heki"
"壇"	"podium"	"ダン, タン, dan, tan"
"壊"	"demolition"	"カイ, kai"
"壌"	"lot"	"ジョウ, joo"
"士"	"gentleman"	"シ, shi"
"壮"	"robust"	"ソウ, soo"
"声"	"voice"	"セイ, ショウ, see, shoo"
"壱"	"one"	"イチ, ichi"
"売"	"sell"	"バイ, bai"
"変"	"change"	"ヘン, hen"
"夏"	"summer"	"カ, ゲ, ka, ge"
"夕"	"evening"	"セキ, seki"
"外"	"outside"	"ガイ, ゲ, gai, ge"
"多"	"many"	"タ, ta"
"夜"	"night"	"ヤ, ya"
"夢"	"dream"	"ム, mu"
"大"	"large"	"ダイ, タイ, dai, tai"
"天"	"heaven"	"テン, ten"
"太"	"thick"	"タイ, タ, tai, ta"
"夫"	"husband"	"フ, フウ, fu, fuu"
"央"	"center"	"オウ, oo"
"失"	"lose"	"シツ, shitsu"
"奇"	"strange"	"キ, ki"
"奉"	"observance"	"ホウ, ブ, hoo, bu"
"奏"	"play music"	"ソウ, soo"
"契"	"pledge"	"ケイ, kee"
"奔"	"bustle"	"ホン, hon"
"奥"	"heart"	"オウ, oo"
"奨"	"exhort"	"ショウ, shoo"
"奪"	"rob"	"ダツ, datsu"
"奮"	"stirred up"	"フン, fun"
"女"	"woman"	"ジョ, ニョ, ニョウ, jo, nyo, nyoo"
"奴"	"guy"	"ド, do, nu"
"好"	"like"	"コウ, koo"
"如"	"likeness"	"ジョ, ニョ, jo, nyo"
"妃"	"queen"	"ヒ, hi"
"妄"	"delusion"	"モウ, ボウ, moo, boo"
"妊"	"pregnancy"	"ニン, nin"
"妙"	"exquisite"	"ミョウ, myoo"
"妥"	"gentle"	"ダ, da"
"妨"	"disturb"	"ボウ, boo"
"妹"	"younger sister"	"マイ, mai"
"妻"	"wife"	"サイ, sai"
"姉"	"older sister"	"シ, shi"
"始"	"begin"	"シ, shi"
"姓"	"surname"	"セイ, ショウ, see, shoo"
"委"	"committee"	"イ, i"
"姫"	"princess"	"ki"
"姻"	"matrimony"	"イン, in"
"姿"	"figure"	"シ, shi"
"威"	"intimidate"	"イ, i"
"娘"	"daughter"	"joo"
"娠"	"pregnant"	"シン, shin"
"娯"	"recreation"	"ゴ, go"
"婆"	"old woman"	"バ, ba"
"婚"	"marriage"	"コン, kon"
"婦"	"lady"	"フ, fu"
"婿"	"bridegroom"	"セイ, see"
"媒"	"mediator"	"バイ, bai"
"嫁"	"bride"	"カ, ka"
"嫌"	"dislike"	"ケン, ゲン, ken, gen"
"嫡"	"legitimate wife"	"チャク, chaku"
"嬢"	"lass"	"ジョウ, joo"
"子"	"child"	"シ, ス, shi, su"
"孔"	"cavity"	"コウ, koo"
"字"	"letter"	"ジ, ji"
"存"	"suppose"	"ソン, ゾン, son, zon"
"孝"	"filial piety"	"コウ, koo"
"季"	"seasons"	"キ, ki"
"孤"	"orphan"	"コ, ko"
"学"	"study"	"ガク, gaku"
"孫"	"grandchild"	"ソン, son"
"宅"	"home"	"タク, taku"
"宇"	"eaves"	"ウ, u"
"守"	"protect"	"シュ, ス, shu, su"
"安"	"cheap"	"アン, an"
"完"	"perfect"	"カン, kan"
"宗"	"religion"	"シュウ, ソウ, shuu, soo"
"官"	"bureaucrat"	"カン, kan"
"宙"	"mid-air"	"チュウ, chuu"
"定"	"decide"	"テイ, ジョウ, tee, joo"
"宜"	"best regards"	"ギ, gi"
"宝"	"treasure"	"ホウ, hoo"
"実"	"truth"	"ジツ, jitsu"
"客"	"guest"	"キャク, カク, kyaku, kaku"
"宣"	"proclaim"	"セン, sen"
"室"	"room"	"シツ, shitsu"
"宮"	"shrine"	"キュウ, グウ, ク, kyuu, guu, ku"
"宰"	"superintend"	"サイ, sai"
"害"	"harm"	"ガイ, gai"
"宴"	"banquet"	"エン, en"
"宵"	"evening"	"ショウ, shoo"
"家"	"house"	"カ, ケ, ka, ke"
"容"	"contain"	"ヨウ, yoo"
"宿"	"inn"	"シュク, shuku"
"寂"	"loneliness"	"ジャク, セキ, jaku, seki"
"寄"	"approach"	"キ, ki"
"密"	"secrecy"	"ミツ, mitsu"
"富"	"rich"	"フ, フウ, fu, fuu"
"寒"	"cold"	"カン, kan"
"寛"	"tolerant"	"カン, kan"
"寝"	"lie down"	"シン, shin"
"察"	"guess"	"サツ, satsu"
"寡"	"widow"	"カ, ka"
"寧"	"rather"	"ネイ, nee"
"審"	"examine"	"シン, shin"
"寮"	"dormitory"	"リョウ, ryoo"
"寸"	"measurement"	"スン, sun"
"寺"	"temple"	"ジ, ji"
"対"	"opposite"	"タイ, ツイ, tai, tsui"
"寿"	"longevity"	"ジュ, ju"
"封"	"seal"	"フウ-ホウ, fuu-hoo"
"専"	"specialty"	"セン, sen"
"射"	"shoot"	"シャ, sha"
"将"	"leader"	"ショウ, shoo"
"尉"	"jailer"	"イ, i"
"尊"	"revered"	"ソン, son"
"尋"	"inquire"	"ジン, jin"
"導"	"guide"	"ドウ, doo"
"小"	"small"	"ショウ, shoo"
"少"	"few"	"ショウ, shoo"
"尚"	"esteem"	"ショウ, shoo"
"就"	"concerning"	"シュウ, ジュ, shuu, ju"
"尺"	"shaku"	"シャク, shaku"
"尼"	"nun"	"ニ, ni"
"尽"	"exhaust"	"ジン, jin"
"尾"	"tail"	"ビ, bi"
"尿"	"urine"	"ニョウ, nyoo"
"局"	"office"	"キョク, kyoku"
"居"	"reside"	"キョ, kyo"
"屈"	"yield"	"クツ, kutsu"
"届"	"deliver"	"kai"
"屋"	"roof"	"オク, oku"
"展"	"expand"	"テン, ten"
"属"	"belong"	"ゾク, zoku"
"層"	"stratum"	"ソウ, soo"
"履"	"footgear"	"リ, ri"
"屯"	"barracks"	"トン, ton"
"山"	"mountain"	"サン, san"
"岐"	"bifurcate"	"キ, ki"
"岩"	"boulder"	"ガン, gan"
"岬"	"cape"	"kou"
"岳"	"point"	"ガク, gaku"
"岸"	"beach"	"ガン, gan"
"峠"	"ridge"	
"峡"	"gorge"	"キョウ, kyoo"
"峰"	"summit"	"ホウ, hoo"
"島"	"island"	"トウ, too"
"崇"	"adore"	"スウ, suu"
"崎"	"promontory"	"ki"
"崩"	"crumble"	"ホウ, hoo"
"川"	"river"	"セン, sen"
"州"	"state"	"シュウ, shuu"
"巡"	"patrol"	"ジュン, jun"
"巣"	"nest"	"ソウ, soo"
"工"	"craft"	"コウ, ク, koo, ku"
"左"	"left"	"サ, sa"
"巧"	"adroit"	"コウ, koo"
"巨"	"gigantic"	"キョ, kyo"
"差"	"distinction"	"サ, sa"
"己"	"self"	"コ, キ, ko, ki"
"巻"	"scroll"	"カン, kan"
"市"	"market"	"シ, shi"
"布"	"cloth"	"フ, fu"
"帆"	"sail"	"ハン, han"
"希"	"hope"	"キ, ki"
"帝"	"sovereign"	"テイ, tee"
"帥"	"commander"	"スイ, sui"
"師"	"expert"	"シ, shi"
"席"	"seat"	"セキ, seki"
"帯"	"sash"	"タイ, tai"
"帰"	"homecoming"	"キ, ki"
"帳"	"account book"	"チョウ, choo"
"常"	"normal"	"ジョウ, joo"
"帽"	"cap"	"ボウ, boo"
"幅"	"breadth"	"フク, fuku"
"幕"	"curtain"	"マク, バク, maku, baku"
"幣"	"cash"	"ヘイ, hee"
"干"	"dry"	"カン, kan"
"平"	"flat"	"ヘイ, ビョウ, hee, byoo"
"年"	"year"	"ネン, nen"
"幸"	"happiness"	"コウ, koo"
"幹"	"tree-trunk"	"カン, kan"
"幻"	"phantasm"	"ゲン, gen"
"幼"	"infancy"	"ヨウ, yoo"
"幽"	"seclude"	"ユウ, yuu"
"幾"	"how many"	"キ, ki"
"庁"	"bureau"	"チョウ, choo"
"広"	"wide"	"コウ, koo"
"床"	"bed"	"ショウ, shoo"
"序"	"preface"	"ジョ, jo"
"底"	"bottom"	"テイ, tee"
"店"	"shop"	"テン, ten"
"府"	"prefecture"	"フ, fu"
"度"	"degrees"	"ド, ト, タク, do, to, taku"
"座"	"sit"	"ザ, za"
"庫"	"warehouse"	"コ, ク, ko, ku"
"庭"	"garden"	"テイ, tee"
"庶"	"commoner"	"ショ, sho"
"康"	"health"	"コウ, koo"
"庸"	"commonplace"	"ヨウ, yoo"
"廃"	"abolish"	"ハイ, hai"
"廉"	"bargain"	"レン, ren"
"廊"	"corridor"	"ロウ, roo"
"延"	"prolong"	"エン, en"
"廷"	"courts"	"テイ, tee"
"建"	"build"	"ケン, コン, ken, kon"
"弁"	"valve"	"ベン, ben"
"弊"	"abuse"	"ヘイ, hee"
"式"	"style"	"シキ, shiki"
"弐"	"two"	"ニ, ni"
"弓"	"bow"	"キュウ, kyuu"
"弔"	"condolences"	"チョウ, choo"
"引"	"pull"	"イン, in"
"弟"	"younger brother"	"テイ, ダイ, デ, tee, dai, de"
"弦"	"bowstring"	"ゲン, gen"
"弧"	"arc"	"コ, ko"
"弱"	"weak"	"ジャク, jaku"
"張"	"stretch"	"チョウ, choo"
"強"	"strong"	"キョウ, ゴウ, kyoo, goo"
"弾"	"bullet"	"ダン, dan"
"当"	"hit"	"トウ, too"
"形"	"shape"	"ケイ, ギョウ, kee, gyoo"
"彩"	"coloring"	"サイ, sai"
"彫"	"carve"	"チョウ, choo"
"彰"	"patent"	"ショウ, shoo"
"影"	"shadow"	"エイ, ee"
"役"	"service"	"ヤク, エキ, yaku, eki"
"彼"	"he"	"ヒ, hi"
"往"	"outward journey"	"オウ, oo"
"征"	"subjugate"	"セイ, see"
"径"	"diameter"	"ケイ, kee"
"待"	"wait"	"タイ, tai"
"律"	"law"	"リツ, リチ, ritsu, richi"
"後"	"behind"	"ゴ, コウ, go, koo"
"徐"	"gradually"	"ジョ, jo"
"徒"	"junior"	"ト, to"
"従"	"obey"	"ジュウ, ショウ, ジュ, juu, shoo, ju"
"得"	"acquire"	"トク, toku"
"御"	"honorable"	"ギョ, ゴ, gyo, go"
"復"	"again"	"フク, fuku"
"循"	"sequential"	"ジュン, jun"
"微"	"delicate"	"ビ, bi"
"徳"	"benevolence"	"トク, toku"
"徴"	"indications"	"チョウ, choo"
"徹"	"penetrate"	"テツ, tetsu"
"心"	"heart"	"シン, shin"
"必"	"without fail"	"ヒツ, hitsu"
"忌"	"mourning"	"キ, ki"
"忍"	"endure"	"ニン, nin"
"志"	"intention"	"シ, shi"
"忘"	"forget"	"ボウ, boo"
"忙"	"busy"	"ボウ, boo"
"応"	"respond"	"オウ, oo"
